Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
2696.0,23.0,028,1.0
2688.0,31.0,028,1.0
2254.0,15.0,009,1.0
2130.0,16.0,009,1.0
2108.0,5.0,003,1.0
2513.0,20.0,030,1.0
4323.0,7.0,137,1.0
2688.0,29.0,072,1.0
2101.0,22.0,014,1.0
2168.0,16.0,087,1.0
2127.0,10.0,030,1.0
2169.0,7.0,022,1.0
2524.0,18.0,003,1.0
2118.0,16.0,004,1.0
2153.0,32.0,009,1.0
2246.0,30.0,004,1.0
2509.0,11.0,003,1.0
2134.0,26.0,003,1.0
6053.0,4.0,011,1.0
2169.0,5.0,008,1.0
2640.0,14.0,004,1.0
2122.0,23.0,045,1.0
2127.0,2.0,018,1.0
2127.0,19.0,009,1.0
2126.0,36.0,025,1.0
2403.0,18.0,034,1.0
2325.0,20.0,028,1.0
2106.0,6.0,007,1.0
2151.0,8.0,058,1.0
2722.0,17.0,005,1.0
2781.0,20.0,012,1.0
5437.0,27.0,031,1.0
2122.0,23.0,044,1.0
2316.0,29.0,002,1.0
2645.0,4.0,019,1.0
2660.0,21.0,011,1.0
2712.0,3.0,021,1.0
4315.0,9.0,019,1.0
2512.0,12.0,027,1.0
2337.0,18.0,010,1.0
2681.0,2.0,001,1.0
2605.0,22.0,020,1.0
2156.0,7.0,011,1.0
2121.0,18.0,042,1.0
2683.0,6.0,007,1.0
2129.0,17.0,008,1.0
2339.0,12.0,033,1.0
2123.0,7.0,019,1.0
2715.0,31.0,049,1.0
4303.0,27.0,022,1.0
2726.0,15.0,008,1.0
2715.0,4.0,029,1.0
2339.0,3.0,025,1.0
2407.0,14.0,012,1.0
2026.0,23.0,009,1.0
2502.0,6.0,009,1.0
2607.0,12.0,012,1.0
2126.0,30.0,011,1.0
2151.0,10.0,023,1.0
2733.0,3.0,018,1.0
2782.0,20.0,028,1.0
2153.0,2.0,004,1.0
2329.0,10.0,013,1.0
4422.0,12.0,019,1.0
2741.0,7.0,006,1.0
2151.0,10.0,010,1.0
2420.0,14.0,013,1.0
2339.0,14.0,011,1.0
2134.0,33.0,002,1.0
2645.0,12.0,020,1.0
2780.0,14.0,019,1.0
2770.0,9.0,002,1.0
2105.0,3.0,013,1.0
2509.0,12.0,048,1.0
2130.0,12.0,001,1.0
2038.0,19.0,013,1.0
2510.0,25.0,024,1.0
2769.0,6.0,009,1.0
2513.0,13.0,044,1.0
2254.0,15.0,008,1.0
2506.0,28.0,013,1.0
5189.0,11.0,030,1.0
2407.0,21.0,007,2.0
2734.0,12.0,053,1.0
2202.0,17.0,018,1.0
2238.0,9.0,003,1.0
2239.0,22.0,016,1.0
2604.0,14.0,075,1.0
2715.0,8.0,019,1.0
2664.0,21.0,048,1.0
2616.0,4.0,009,1.0
2680.0,10.0,007,1.0
2339.0,2.0,048,1.0
2696.0,14.0,019,1.0
2202.0,4.0,005,1.0
2715.0,1.0,021,1.0
2156.0,9.0,006,1.0
2649.0,4.0,017,1.0
2517.0,1.0,001,1.0
2686.0,12.0,005,1.0
2407.0,3.0,014,1.0
2254.0,14.0,007,1.0
2668.0,6.0,010,1.0
2646.0,17.0,020,1.0
2782.0,12.0,020,1.0
2787.0,31.0,028,1.0
2126.0,36.0,015,1.0
2130.0,16.0,024,1.0
2645.0,3.0,012,1.0
2508.0,24.0,015,1.0
2677.0,14.0,001,1.0
4312.0,5.0,002,1.0
2217.0,13.0,034,1.0
2026.0,12.0,012,1.0
6058.0,10.0,018,1.0
2661.0,26.0,018,1.0
2331.0,9.0,005,1.0
2020.0,5.0,014,1.0
2715.0,3.0,027,1.0
2309.0,12.0,003,1.0
6040.0,26.0,033,1.0
2333.0,15.0,002,1.0
4119.0,21.0,018,1.0
4316.0,16.0,016,1.0
2604.0,15.0,011,1.0
2410.0,4.0,004,1.0
7422.0,24.0,009,1.0
5051.0,25.0,009,1.0
5219.0,1.0,009,1.0
2334.0,8.0,069,1.0
5047.0,16.0,007,1.0
2254.0,10.0,004,1.0
2156.0,4.0,006,1.0
5457.0,19.0,025,1.0
5468.0,7.0,001,1.0
2326.0,13.0,011,1.0
4305.0,13.0,026,1.0
2512.0,25.0,046,1.0
4012.0,12.0,012,1.0
6004.0,16.0,009,1.0
2649.0,9.0,013,1.0
2407.0,4.0,008,1.0
2238.0,6.0,005,1.0
2781.0,27.0,010,1.0
2204.0,22.0,005,1.0
2314.0,10.0,010,1.0
2627.0,11.0,006,1.0
2638.0,34.0,032,1.0
5535.0,19.0,010,2.0
5083.0,20.0,014,1.0
5464.0,22.0,033,1.0
2611.0,17.0,018,1.0
2325.0,10.0,013,1.0
2784.0,23.0,006,1.0
6023.0,32.0,017,1.0
5475.0,2.0,010,1.0
2644.0,12.0,023,1.0
2360.0,15.0,016,1.0
2513.0,1.0,014,2.0
2124.0,4.0,007,1.0
2673.0,15.0,120,1.0
2640.0,11.0,011,1.0
2404.0,15.0,016,1.0
6015.0,7.0,026,1.0
5215.0,11.0,008,1.0
2415.0,4.0,026,1.0
2108.0,12.0,010,1.0
2768.0,6.0,004,1.0
2690.0,13.0,017,1.0
2134.0,31.0,014,1.0
2688.0,39.0,013,1.0
5087.0,20.0,012,1.0
5154.0,5.0,014,3.0
6011.0,4.0,010,1.0
2124.0,9.0,016,1.0
2664.0,2.0,047,1.0
6065.0,29.0,031,1.0
6035.0,6.0,025,1.0
5478.0,8.0,004,1.0
2204.0,32.0,007,1.0
4411.0,6.0,008,1.0
2646.0,13.0,013,1.0
2113.0,15.0,029,1.0
2680.0,15.0,014,1.0
2242.0,15.0,008,1.0
6033.0,12.0,031,1.0
5474.0,40.0,021,1.0
5043.0,17.0,013,1.0
2360.0,15.0,014,1.0
4366.0,10.0,002,1.0
5064.0,28.0,027,1.0
2766.0,9.0,002,1.0
2787.0,4.0,029,1.0
4294.0,9.0,029,1.0
5477.0,12.0,005,1.0
2419.0,7.0,022,1.0
2149.0,10.0,024,1.0
5479.0,17.0,002,1.0
2565.0,9.0,039,1.0
2648.0,19.0,033,1.0
6018.0,31.0,020,1.0
2122.0,24.0,013,1.0
4231.0,11.0,021,1.0
5063.0,11.0,005,1.0
2542.0,32.0,019,1.0
5442.0,29.0,008,1.0
2044.0,1.0,002,1.0
2013.0,15.0,027,1.0
2615.0,20.0,005,1.0
2528.0,33.0,014,2.0
2726.0,9.0,023,1.0
2650.0,14.0,003,1.0
2307.0,14.0,009,1.0
2621.0,34.0,006,1.0
2128.0,4.0,025,1.0
5083.0,4.0,002,1.0
2324.0,21.0,005,1.0
2231.0,21.0,006,1.0
4247.0,3.0,015,1.0
5087.0,20.0,012,1.0
2156.0,8.0,003,1.0
2151.0,17.0,016,1.0
2690.0,9.0,015,1.0
2345.0,9.0,018,1.0
2329.0,18.0,001,1.0
7448.0,21.0,021,1.0
2217.0,22.0,004,1.0
2236.0,7.0,015,1.0
2625.0,3.0,014,1.0
2254.0,14.0,006,1.0
5671.0,18.0,016,1.0
2664.0,21.0,090,1.0
4262.0,24.0,012,1.0
2747.0,15.0,060,1.0
4256.0,31.0,020,1.0
6019.0,15.0,005,1.0
2315.0,8.0,002,1.0
2315.0,10.0,037,1.0
2151.0,5.0,033,1.0
4325.0,14.0,020,1.0
2766.0,6.0,010,1.0
5527.0,34.0,017,1.0
5015.0,25.0,031,1.0
2332.0,14.0,001,1.0
2555.0,29.0,025,1.0
2615.0,3.0,005,1.0
5594.0,24.0,033,1.0
5467.0,1.0,038,1.0
2132.0,11.0,010,1.0
2502.0,29.0,004,1.0
2233.0,9.0,009,1.0
2327.0,10.0,019,1.0
5031.0,16.0,017,1.0
4370.0,8.0,018,1.0
5478.0,8.0,005,1.0
5021.0,22.0,003,1.0
2169.0,11.0,028,1.0
5691.0,2.0,026,1.0
2122.0,18.0,029,1.0
2238.0,2.0,007,1.0
5454.0,22.0,011,1.0
2715.0,8.0,018,1.0
4257.0,10.0,005,1.0
5516.0,6.0,043,1.0
4005.0,17.0,011,1.0
2130.0,15.0,006,1.0
6030.0,22.0,028,1.0
2114.0,3.0,008,1.0
4214.0,6.0,023,1.0
2358.0,23.0,010,1.0
2766.0,6.0,019,1.0
2511.0,9.0,013,1.0
2769.0,16.0,007,1.0
2042.0,9.0,013,1.0
2203.0,10.0,013,1.0
6014.0,32.0,018,1.0
5014.0,17.0,013,1.0
5014.0,25.0,012,1.0
2572.0,48.0,028,1.0
2042.0,7.0,033,1.0
2115.0,11.0,004,1.0
2213.0,8.0,013,1.0
5684.0,26.0,018,1.0
2014.0,27.0,013,1.0
2684.0,6.0,009,1.0
5454.0,28.0,018,1.0
2696.0,14.0,001,1.0
5476.0,14.0,030,1.0
2666.0,24.0,029,1.0
2215.0,9.0,010,1.0
5464.0,26.0,006,1.0
4107.0,19.0,004,2.0
5516.0,18.0,008,1.0
2129.0,8.0,007,1.0
2230.0,5.0,015,1.0
5022.0,2.0,009,1.0
2315.0,16.0,031,1.0
2766.0,6.0,023,1.0
2644.0,17.0,013,1.0
2153.0,26.0,033,1.0
4311.0,11.0,003,1.0
2041.0,6.0,019,1.0
4008.0,26.0,025,1.0
2317.0,13.0,025,1.0
5669.0,12.0,043,1.0
5437.0,4.0,010,1.0
2770.0,14.0,012,1.0
2509.0,13.0,025,2.0
4007.0,10.0,023,1.0
2336.0,5.0,010,1.0
5111.0,11.0,022,1.0
2110.0,12.0,038,1.0
2041.0,6.0,011,1.0
5082.0,19.0,005,1.0
2668.0,2.0,018,1.0
5104.0,26.0,008,1.0
5090.0,27.0,007,1.0
2118.0,9.0,007,1.0
2175.0,29.0,017,1.0
2105.0,4.0,013,1.0
5485.0,23.0,023,1.0
5445.0,19.0,012,1.0
2769.0,22.0,002,1.0
2340.0,2.0,038,1.0
2317.0,14.0,017,1.0
5535.0,8.0,014,1.0
4236.0,30.0,017,1.0
2528.0,33.0,014,2.0
2163.0,22.0,021,1.0
2136.0,16.0,005,1.0
4234.0,1.0,008,1.0
5033.0,14.0,026,1.0
2159.0,25.0,028,1.0
6035.0,23.0,004,1.0
2513.0,5.0,036,1.0
2311.0,4.0,004,1.0
2128.0,14.0,003,1.0
2335.0,35.0,013,1.0
6039.0,016,005,1.0
2235.0,021,059,1.0
2074.0,021,012,1.0
2410.0,011,006,1.0
2642.0,013,008,1.0
6013.0,002,030,1.0
4305.0,013,032,1.0
2623.0,003,010,1.0
2666.0,005,003,1.0
2103.0,013,007,1.0
6015.0,009,031,1.0
5436.0,029,015,1.0
5434.0,027,019,1.0
2769.0,016,013,1.0
2355.0,017,006,1.0
6065.0,003,021,1.0
2039.0,019,013,1.0
2414.0,020,006,1.0
2263.0,007,002,1.0
5435.0,028,015,1.0
5108.0,025,011,1.0
5537.0,011,015,1.0
5107.0,012,019,1.0
2787.0,009,010,1.0
4007.0,006,016,1.0
5089.0,020,008,1.0
2104.0,005,061,1.0
2014.0,034,037,1.0
4326.0,007,016,1.0
5507.0,014,011,1.0
5075.0,032,012,1.0
2424.0,003,010,1.0
4250.0,020,021,1.0
2104.0,008,044,1.0
2289.0,025,005,1.0
2204.0,033,020,1.0
2164.0,016,010,1.0
4007.0,009,003,1.0
2212.0,027,005,1.0
5493.0,032,013,1.0
5069.0,028,010,1.0
4223.0,015,024,1.0
2324.0,008,014,1.0
5035.0,004,026,1.0
5177.0,011,003,1.0
2619.0,007,030,1.0
2022.0,021,021,1.0
2309.0,028,023,1.0
5476.0,015,002,1.0
2326.0,022,013,1.0
2407.0,004,007,1.0
2364.0,003,024,1.0
2228.0,019,003,1.0
4264.0,015,004,1.0
4012.0,024,011,1.0
5014.0,011,008,2.0
2711.0,001,008,1.0
2639.0,020,010,1.0
2376.0,018,009,1.0
6048.0,032,036,1.0
6052.0,025,008,1.0
5085.0,026,022,1.0
2533.0,007,010,1.0
2409.0,008,003,1.0
7346.0,018,021,1.0
4113.0,002,034,1.0
4009.0,014,008,1.0
2727.0,019,025,1.0
4264.0,002,015,1.0
2104.0,006,007,1.0
2355.0,002,024,1.0
5068.0,012,004,1.0
2565.0,011,043,1.0
2580.0,008,022,1.0
5671.0,010,015,1.0
2004.0,006,001,1.0
6053.0,019,020,1.0
5401.0,009,011,2.0
5445.0,020,004,1.0
2201.0,030,024,1.0
4235.0,006,001,1.0
2346.0,001,032,2.0
5025.0,005,013,1.0
4246.0,028,006,1.0
2509.0,018,004,1.0
5524.0,010,002,1.0
5204.0,020,019,1.0
4322.0,008,009,1.0
5016.0,002,002,1.0
5691.0,001,039,1.0
2101.0,004,006,1.0
5460.0,008,025,1.0
2784.0,019,036,1.0
2240.0,002,024,1.0
5419.0,017,005,1.0
6039.0,002,061,1.0
2269.0,016,014,1.0
5069.0,002,015,1.0
5064.0,016,026,1.0
2623.0,003,020,1.0
2239.0,004,022,1.0
2236.0,008,021,1.0
2362.0,005,004,1.0
2512.0,008,013,1.0
2350.0,002,043,1.0
2031.0,003,046,1.0
7469.0,027,016,1.0
2517.0,003,003,1.0
6013.0,014,018,2.0
2690.0,009,019,1.0
2214.0,010,006,1.0
2120.0,017,003,1.0
2673.0,017,051,1.0
5435.0,004,040,1.0
2116.0,008,018,1.0
5402.0,011,007,1.0
2375.0,013,032,1.0
5018.0,011,001,1.0
2610.0,024,025,1.0
2638.0,008,015,1.0
2620.0,005,028,1.0
4311.0,010,006,1.0
2764.0,012,013,1.0
2414.0,011,012,1.0
2368.0,014,019,1.0
2510.0,018,016,1.0
6017.0,004,028,1.0
7560.0,005,001,1.0
2661.0,014,008,1.0
2378.0,030,015,1.0
5534.0,017,012,1.0
2631.0,010,068,1.0
5478.0,006,028,1.0
2872.0,017,034,1.0
5069.0,021,011,1.0
2356.0,012,010,1.0
2177.0,016,019,1.0
5050.0,024,016,1.0
2627.0,011,024,1.0
6033.0,016,009,1.0
5458.0,028,020,1.0
4007.0,013,016,1.0
6058.0,025,007,1.0
4258.0,006,028,1.0
5515.0,029,003,1.0
5023.0,018,002,1.0
2706.0,025,002,1.0
5551.0,016,009,1.0
2105.0,022,034,1.0
6017.0,016,024,1.0
2706.0,016,031,1.0
2420.0,029,005,1.0
2364.0,016,008,1.0
2101.0,024,002,1.0
2334.0,008,073,1.0
5684.0,011,014,1.0
5015.0,035,031,1.0
2115.0,016,026,1.0
4251.0,009,028,1.0
4008.0,005,010,1.0
5055.0,019,016,1.0
2228.0,016,005,1.0
2228.0,020,004,1.0
5685.0,008,016,1.0
4005.0,006,006,1.0
2314.0,008,044,1.0
5013.0,006,010,1.0
5066.0,019,024,1.0
4005.0,003,017,1.0
2684.0,006,010,1.0
6015.0,011,019,1.0
2178.0,030,010,1.0
2137.0,024,019,1.0
4251.0,009,028,1.0
5067.0,014,011,1.0
2123.0,034,015,1.0
2741.0,009,024,1.0
2359.0,009,019,1.0
5586.0,018,039,1.0
2159.0,017,017,1.0
2137.0,009,012,1.0
5101.0,014,005,1.0
5504.0,011,004,1.0
5005.0,003,023,1.0
5510.0,014,002,1.0
2420.0,006,012,1.0
5671.0,016,010,1.0
5691.0,020,002,1.0
2332.0,015,010,1.0
4008.0,004,015,1.0
2266.0,018,022,1.0
2570.0,010,004,1.0
5055.0,030,001,1.0
2119.0,027,015,1.0
2243.0,005,016,1.0
2623.0,023,007,1.0
2507.0,026,005,1.0
5062.0,014,025,1.0
2620.0,013,004,1.0
5057.0,014,027,1.0
5061.0,016,012,1.0
5051.0,032,007,1.0
5424.0,007,004,1.0
2177.0,001,023,1.0
5057.0,022,008,1.0
2666.0,023,011,1.0
6058.0,020,001,1.0
2605.0,022,022,1.0
5220.0,012,025,1.0
2122.0,007,019,1.0
5516.0,023,017,1.0
6053.0,014,030,1.0
2733.0,022,013,1.0
6013.0,021,011,1.0
5435.0,020,014,1.0
4242.0,033,007,1.0
2766.0,006,023,1.0
5669.0,022,008,1.0
5445.0,011,030,1.0
4301.0,019,009,1.0
5473.0,020,007,1.0
5556.0,005,003,1.0
2017.0,025,032,1.0
5103.0,012,006,1.0
2014.0,003,023,1.0
5215.0,010,012,1.0
4221.0,019,021,1.0
5020.0,023,002,1.0
2005.0,010,011,1.0
2718.0,001,025,1.0
5402.0,021,004,1.0
2642.0,012,017,1.0
2115.0,002,026,1.0
5124.0,018,005,1.0
5507.0,007,020,1.0
2617.0,013,011,1.0
5522.0,033,026,1.0
6003.0,015,017,1.0
5590.0,023,001,1.0
5022.0,014,019,1.0
2511.0,001,012,1.0
2366.0,003,003,1.0
2671.0,027,006,1.0
2604.0,030,024,1.0
2014.0,027,012,1.0
5477.0,014,024,1.0
2568.0,020,003,1.0
2417.0,002,003,1.0
5486.0,018,023,1.0
5050.0,009,056,1.0
6020.0,005,015,1.0
2317.0,017,023,2.0
5589.0,018,013,1.0
2501.0,003,037,1.0
5052.0,030,026,1.0
4322.0,010,006,1.0
5055.0,017,002,1.0
5178.0,026,004,1.0
5457.0,011,027,1.0
2624.0,008,030,1.0
4106.0,014,006,1.0
5478.0,008,005,1.0
5445.0,013,002,1.0
5501.0,023,008,1.0
4366.0,002,020,1.0
2346.0,001,032,2.0
2226.0,010,019,1.0
6004.0,038,028,1.0
2538.0,014,011,1.0
4321.0,013,054,1.0
2661.0,003,008,1.0
2533.0,027,011,1.0
2151.0,029,042,1.0
2414.0,032,008,1.0
2305.0,007,029,1.0
5478.0,003,008,1.0
6014.0,022,015,1.0
5425.0,022,010,1.0
4214.0,007,031,1.0
2123.0,013,025,1.0
6029.0,001,006,1.0
6003.0,016,025,1.0
2727.0,010,029,1.0
2314.0,009,015,1.0
2182.0,004,002,1.0
2509.0,007,031,1.0
2366.0,016,019,1.0
2238.0,019,006,1.0
5108.0,009,003,1.0
5041.0,020,001,1.0
5057.0,009,017,1.0
2366.0,013,014,1.0
2610.0,006,011,1.0
2533.0,002,011,1.0
2122.0,006,030,1.0
2348.0,001,036,1.0
5427.0,023,013,1.0
2010.0,019,039,1.0
2662.0,002,006,1.0
2206.0,024,023,1.0
5085.0,003,015,1.0
5437.0,019,002,1.0
2629.0,028,022,1.0
5066.0,012,007,1.0
5589.0,026,024,1.0
6015.0,036,007,1.0
2338.0,028,034,1.0
5083.0,013,021,1.0
5479.0,026,015,1.0
5516.0,008,004,1.0
2529.0,018,025,1.0
5436.0,031,007,1.0
2004.0,009,007,1.0
2132.0,001,024,1.0
5521.0,005,005,1.0
2620.0,005,010,1.0
2559.0,029,033,1.0
2222.0,024,006,1.0
2115.0,002,003,1.0
2527.0,027,035,1.0
2012.0,004,025,1.0
2550.0,010,013,1.0
2531.0,008,048,1.0
2623.0,024,015,1.0
2213.0,003,017,1.0
5510.0,015,010,1.0
2531.0,020,011,1.0
4423.0,009,033,1.0
5043.0,010,005,1.0
2115.0,005,013,1.0
2340.0,010,017,1.0
2354.0,011,010,1.0
2129.0,024,036,1.0
2386.0,031,004,1.0
6015.0,006,019,1.0
2386.0,024,003,1.0
2128.0,001,014,1.0
4114.0,032,002,1.0
2175.0,031,036,1.0
2124.0,021,008,1.0
2380.0,017,010,1.0
2024.0,037,029,1.0
2159.0,017,001,1.0
2623.0,022,029,1.0
2012.0,008,006,1.0
2501.0,002,006,1.0
2429.0,010,023,1.0
2151.0,034,054,1.0
2310.0,022,025,1.0
2646.0,008,004,1.0
4236.0,023,023,1.0
4107.0,020,016,1.0
2762.0,014,020,1.0
2130.0,007,004,1.0
2763.0,019,007,1.0
2624.0,014,045,1.0
2129.0,009,001,1.0
2531.0,028,003,1.0
2105.0,007,015,1.0
2623.0,015,023,1.0
2304.0,010,001,1.0
2035.0,015,046,1.0
2503.0,006,041,1.0
2628.0,007,013,1.0
2010.0,020,029,1.0
2301.0,022,002,1.0
2530.0,034,022,1.0
2535.0,013,012,1.0
2130.0,003,005,1.0
5188.0,022,020,1.0
2123.0,021,048,1.0
2075.0,035,047,1.0
2119.0,011,020,1.0
2680.0,008,011,1.0
2010.0,022,002,1.0
2506.0,032,027,1.0
2512.0,009,039,1.0
6023.0,024,026,1.0
2339.0,010,001,1.0
2129.0,005,024,1.0
2552.0,016,014,1.0
2762.0,035,021,1.0
4246.0,025,025,1.0
2203.0,003,002,1.0
2748.0,012,054,1.0
2646.0,009,005,1.0
6055.0,021,039,1.0
2506.0,028,009,1.0
5685.0,003,002,1.0
2115.0,002,005,1.0
2159.0,015,007,1.0
2620.0,013,021,1.0
2572.0,035,020,1.0
2527.0,018,028,1.0
7349.0,024,005,1.0
5415.0,023,002,1.0
5189.0,001,034,1.0
5013.0,003,001,1.0
2618.0,011,019,1.0
2617.0,021,015,1.0
2761.0,010,016,1.0
2782.0,020,010,1.0
2620.0,022,001,1.0
2234.0,004,023,1.0
2156.0,024,027,1.0
2508.0,018,035,1.0
2527.0,018,021,1.0
2137.0,026,002,1.0
2690.0,016,017,1.0
2748.0,029,044,1.0
2531.0,022,030,1.0
2662.0,019,003,1.0
2620.0,013,004,1.0
2216.0,003,026,1.0
2764.0,021,003,1.0
2010.0,010,023,1.0
2235.0,019,044,1.0
2779.0,028,009,1.0
4305.0,017,011,1.0
2533.0,028,014,1.0
2246.0,002,008,1.0
6050.0,019,013,1.0
2620.0,008,004,1.0
2536.0,003,017,1.0
2527.0,015,047,1.0
2779.0,030,018,1.0
2533.0,003,025,1.0
2626.0,014,020,1.0
2004.0,014,015,1.0
2620.0,013,015,1.0
4110.0,024,011,1.0
2870.0,004,015,1.0
5035.0,027,021,1.0
2532.0,006,012,1.0
2259.0,001,017,1.0
2128.0,013,017,1.0
2510.0,003,007,1.0
5110.0,019,022,1.0
2527.0,021,011,1.0
2770.0,006,030,1.0
2507.0,002,002,1.0
5109.0,024,024,1.0
4303.0,013,058,1.0
2527.0,027,014,1.0
2620.0,018,021,1.0
2782.0,024,008,1.0
6031.0,006,026,1.0
2640.0,003,004,1.0
2511.0,013,005,1.0
2601.0,019,049,1.0
2763.0,016,025,1.0
5435.0,022,035,1.0
7346.0,006,006,1.0
2629.0,025,003,1.0
2013.0,011,040,1.0
2343.0,013,004,1.0
2533.0,006,009,1.0
4005.0,015,027,1.0
2683.0,023,005,1.0
2261.0,012,014,1.0
2178.0,030,008,1.0
2074.0,023,012,1.0
2004.0,020,031,1.0
2536.0,008,017,1.0
2533.0,011,019,1.0
2616.0,027,055,1.0
2327.0,007,158,1.0
2234.0,020,018,1.0
2380.0,017,014,1.0
2533.0,001,009,1.0
2533.0,028,022,1.0
2013.0,008,045,1.0
2130.0,013,023,1.0
2785.0,002,016,1.0
2228.0,027,014,1.0
2530.0,037,013,1.0
2558.0,043,018,1.0
2618.0,007,028,1.0
2508.0,014,007,1.0
2509.0,006,034,1.0
2763.0,011,006,1.0
5072.0,020,016,1.0
2214.0,002,024,1.0
2506.0,024,029,1.0
2203.0,005,018,1.0
2178.0,030,003,1.0
2531.0,020,026,1.0
2769.0,017,020,1.0
2508.0,005,003,1.0
2646.0,025,015,1.0
4104.0,012,003,1.0
2649.0,016,016,1.0
2524.0,008,010,1.0
2686.0,013,018,1.0
2690.0,017,112,1.0
2134.0,001,003,1.0
2532.0,005,007,1.0
2536.0,003,012,1.0
6061.0,019,014,1.0
2130.0,014,007,1.0
2130.0,002,014,1.0
2118.0,018,005,1.0
2105.0,001,014,1.0
2131.0,002,016,1.0
2535.0,015,016,1.0
2010.0,020,047,1.0
2669.0,025,013,1.0
2639.0,016,019,1.0
2136.0,008,002,1.0
5476.0,010,024,1.0
2233.0,005,033,1.0
2344.0,014,031,1.0
2010.0,019,015,1.0
5462.0,018,001,1.0
5453.0,019,028,1.0
6004.0,037,019,1.0
2620.0,027,022,1.0
2134.0,010,017,1.0
2531.0,026,048,1.0
2226.0,011,019,1.0
2748.0,010,038,1.0
2605.0,016,022,1.0
5218.0,010,040,4.0
2109.0,027,016,1.0
2534.0,008,010,1.0
2524.0,011,001,1.0
2552.0,024,042,1.0
6030.0,032,027,1.0
2263.0,027,003,1.0
2010.0,022,015,1.0
2123.0,010,001,1.0
2536.0,004,021,1.0
2755.0,017,001,1.0
2784.0,018,009,1.0
2686.0,005,015,1.0
2115.0,006,018,1.0
2644.0,017,015,1.0
5426.0,015,004,1.0
5445.0,030,038,1.0
2233.0,012,013,1.0
4231.0,008,018,1.0
2283.0,021,005,1.0
2514.0,016,055,1.0
2106.0,033,009,1.0
4263.0,017,034,1.0
6063.0,021,012,1.0
2309.0,024,001,1.0
2763.0,018,011,1.0
2238.0,008,018,1.0
2281.0,003,004,1.0
5594.0,021,003,1.0
2524.0,009,008,1.0
2762.0,020,002,1.0
2132.0,014,004,1.0
5445.0,013,022,1.0
2508.0,016,018,1.0
2508.0,004,006,1.0
2524.0,002,012,1.0
2105.0,008,024,1.0
2768.0,030,018,1.0
2261.0,035,017,1.0
2629.0,030,028,1.0
2534.0,006,017,1.0
2763.0,008,011,1.0
2259.0,001,012,1.0
5435.0,007,013,1.0
2527.0,021,002,1.0
2531.0,012,042,1.0
2531.0,026,031,1.0
2536.0,003,015,1.0
2101.0,010,020,1.0
2148.0,012,007,1.0
2676.0,024,020,1.0
2335.0,023,010,1.0
2116.0,008,011,1.0
2136.0,012,012,1.0
2755.0,009,016,1.0
2671.0,003,011,1.0
5436.0,019,008,1.0
7414.0,017,023,1.0
4406.0,017,001,1.0
5180.0,010,024,1.0
2559.0,008,005,1.0
6020.0,034,012,1.0
2238.0,013,017,1.0
2618.0,007,037,1.0
5084.0,026,009,2.0
4258.0,008,017,1.0
2228.0,008,014,1.0
2690.0,001,006,1.0
4368.0,020,035,1.0
5430.0,019,021,1.0
6037.0,016,010,1.0
5033.0,016,053,1.0
4009.0,015,013,1.0
5049.0,010,028,1.0
2311.0,006,006,1.0
4257.0,017,046,1.0
2419.0,004,020,2.0
6051.0,014,030,1.0
5517.0,011,027,1.0
4004.0,024,023,1.0
5019.0,002,014,1.0
4262.0,025,014,1.0
4262.0,025,015,1.0
2301.0,008,006,1.0
2626.0,001,008,1.0
2633.0,008,013,1.0
6053.0,015,034,1.0
5518.0,003,018,1.0
2329.0,011,006,1.0
2336.0,025,008,1.0
5059.0,008,011,1.0
6041.0,029,015,1.0
5088.0,016,021,1.0
2236.0,007,007,1.0
2225.0,021,004,1.0
5001.0,003,009,1.0
2139.0,021,003,1.0
6067.0,003,006,1.0
2261.0,025,066,1.0
2023.0,017,016,1.0
2327.0,007,058,1.0
4257.0,023,075,1.0
5034.0,012,004,1.0
2034.0,019,035,1.0
2167.0,006,027,1.0
4225.0,007,010,1.0
6033.0,007,020,1.0
2103.0,018,010,1.0
6012.0,009,002,1.0
6019.0,011,015,1.0
2618.0,016,018,1.0
4257.0,022,052,1.0
4305.0,002,028,1.0
2228.0,023,026,1.0
5047.0,007,005,1.0
2028.0,034,011,1.0
2327.0,020,021,1.0
2619.0,011,003,1.0
2507.0,005,029,1.0
2666.0,001,005,1.0
4008.0,002,011,1.0
2336.0,026,008,1.0
5217.0,022,021,1.0
6017.0,002,035,1.0
2135.0,036,018,1.0
5057.0,002,015,1.0
4232.0,023,002,1.0
5113.0,031,030,2.0
2224.0,004,082,1.0
2690.0,016,023,1.0
2648.0,009,021,1.0
2368.0,023,037,1.0
2681.0,017,007,1.0
7346.0,011,018,1.0
5156.0,015,008,1.0
5477.0,002,015,1.0
6006.0,013,009,1.0
5003.0,022,013,1.0
2404.0,008,001,1.0
2341.0,004,008,1.0
6069.0,015,038,1.0
2224.0,035,008,1.0
5084.0,026,009,2.0
2164.0,009,004,1.0
2111.0,010,002,1.0
2414.0,029,025,1.0
5033.0,015,051,1.0
5085.0,008,005,1.0
5525.0,007,026,1.0
5690.0,020,020,1.0
4256.0,021,003,1.0
2028.0,020,022,1.0
4110.0,013,021,1.0
4318.0,010,013,1.0
2354.0,010,028,1.0
2226.0,024,013,1.0
2138.0,024,005,1.0
5083.0,011,005,1.0
2101.0,024,010,1.0
2027.0,007,005,1.0
6035.0,027,001,1.0
5524.0,020,003,1.0
